smile,head_pitch,head_roll,head_yaw,gender,age,moustache,beard,sideburns,glasses,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise,blurLevel,blurvalue,exposureLevel,exposurevalue,noiseLevel,noisevalue,eyeMakeup,lipMakeup,foreheadOccluded,eyeOccluded,mouthOccluded,bald,invisible
0.0,0.0,-9.3,-2.3,female,54.2,0.0,0.0,0.0,NoGlasses,0.003,0.001,0.002,0.001,0.0,0.389,0.605,0.0,high,0.94,goodExposure,0.73,low,0.0,True,True,False,False,False,0.01,False
0.517,0.0,-2.4,-5.3,male,47.8,0.6,0.3,0.4,NoGlasses,0.0,0.014,0.001,0.0,0.517,0.465,0.002,0.0,low,0.0,goodExposure,0.48,low,0.0,False,False,False,False,False,0.04,False
0.0,0.0,19.7,9.0,female,16.4,0.0,0.0,0.0,NoGlasses,0.0,0.001,0.0,0.0,0.0,0.995,0.003,0.001,low,0.0,goodExposure,0.47,low,0.0,True,True,False,False,False,0.02,False
0.123,0.0,14.5,0.4,male,48.0,0.6,0.7,0.3,NoGlasses,0.002,0.042,0.008,0.001,0.123,0.794,0.025,0.007,medium,0.59,goodExposure,0.49,low,0.12,False,True,False,False,False,0.01,False
0.001,0.0,3.5,-2.2,male,35.2,0.1,0.5,0.1,NoGlasses,0.021,0.006,0.027,0.052,0.001,0.398,0.473,0.022,medium,0.41,goodExposure,0.74,medium,0.45,True,False,False,False,False,0.02,False
0.536,0.0,-1.7,-3.5,male,66.1,0.4,0.2,0.1,NoGlasses,0.009,0.001,0.0,0.0,0.536,0.452,0.001,0.0,low,0.11,goodExposure,0.64,medium,0.57,False,False,False,False,False,0.99,False
0.286,0.0,2.2,-4.4,female,22.2,0.0,0.0,0.0,NoGlasses,0.0,0.005,0.0,0.0,0.286,0.708,0.0,0.001,medium,0.73,goodExposure,0.65,low,0.29,False,False,False,False,False,0.52,False
0.297,0.0,-1.2,-18.0,female,22.3,0.0,0.0,0.0,NoGlasses,0.0,0.003,0.001,0.004,0.297,0.506,0.158,0.03,low,0.0,goodExposure,0.48,low,0.0,True,False,False,False,False,0.01,False
0.0,0.0,4.8,4.0,male,20.8,0.0,0.1,0.3,NoGlasses,0.039,0.074,0.001,0.0,0.0,0.805,0.079,0.001,low,0.25,goodExposure,0.6,medium,0.35,True,True,False,False,False,0.0,False
0.996,0.0,21.1,-0.1,male,26.6,0.0,0.0,0.0,NoGlasses,0.0,0.0,0.0,0.0,0.996,0.003,0.0,0.0,medium,0.36,overExposure,0.88,medium,0.5,False,False,False,False,False,0.01,False
0.0,0.0,0.9,-11.5,male,49.7,0.7,0.6,0.4,NoGlasses,0.385,0.002,0.001,0.0,0.0,0.581,0.03,0.0,low,0.0,goodExposure,0.62,low,0.0,False,False,False,False,False,0.01,False
0.666,0.0,-1.7,-25.5,female,46.4,0.0,0.0,0.0,NoGlasses,0.001,0.0,0.0,0.009,0.666,0.0,0.0,0.323,low,0.05,goodExposure,0.62,low,0.0,True,True,False,False,False,0.14,False
0.01,0.0,-5.6,16.0,male,43.7,0.4,0.4,0.2,NoGlasses,0.001,0.007,0.011,0.001,0.01,0.749,0.212,0.01,medium,0.28,goodExposure,0.69,low,0.0,False,False,False,False,False,0.12,False
0.0,0.0,-1.2,-2.7,male,43.9,0.7,0.5,0.3,NoGlasses,0.0,0.002,0.0,0.0,0.0,0.987,0.011,0.0,low,0.22,goodExposure,0.63,low,0.27,True,False,False,False,False,0.25,False
0.007,0.0,-1.6,18.9,female,29.1,0.0,0.0,0.0,ReadingGlasses,0.024,0.091,0.017,0.001,0.007,0.758,0.101,0.001,low,0.0,goodExposure,0.39,medium,0.45,True,True,False,False,False,0.01,False
0.895,0.0,-27.7,-7.0,female,39.9,0.0,0.0,0.0,NoGlasses,0.001,0.007,0.005,0.0,0.895,0.085,0.002,0.005,medium,0.57,goodExposure,0.61,medium,0.43,True,False,False,False,False,0.02,False
0.999,0.0,-7.0,0.3,male,37.6,0.8,0.6,0.7,NoGlasses,0.0,0.0,0.0,0.0,0.999,0.0,0.0,0.0,medium,0.28,overExposure,0.78,low,0.07,True,False,False,False,False,0.87,False
0.012,0.0,-16.1,-3.6,female,51.8,0.0,0.0,0.0,NoGlasses,0.025,0.028,0.018,0.042,0.012,0.625,0.226,0.024,low,0.0,goodExposure,0.45,low,0.22,True,False,False,False,False,0.01,False
0.912,0.0,6.1,12.6,male,47.4,0.9,0.7,0.3,NoGlasses,0.001,0.005,0.004,0.0,0.912,0.037,0.002,0.039,medium,0.68,goodExposure,0.45,high,0.73,True,False,False,False,False,0.01,False
0.0,0.0,-3.5,-9.5,female,35.1,0.0,0.0,0.0,NoGlasses,0.001,0.0,0.0,0.0,0.0,0.997,0.002,0.0,low,0.14,goodExposure,0.61,medium,0.41,True,True,False,False,False,0.0,False
0.0,0.0,-7.5,-8.5,male,50.3,0.6,0.5,0.2,NoGlasses,0.001,0.001,0.0,0.0,0.0,0.996,0.002,0.0,medium,0.27,goodExposure,0.74,medium,0.35,False,False,False,False,False,0.96,False
0.015,0.0,-2.9,10.2,male,41.0,0.4,0.5,0.3,NoGlasses,0.002,0.165,0.001,0.0,0.015,0.754,0.063,0.0,low,0.11,goodExposure,0.48,medium,0.42,False,False,False,False,False,0.01,False
0.729,0.0,-4.7,-2.1,male,39.3,0.0,0.1,0.1,NoGlasses,0.0,0.019,0.0,0.0,0.729,0.24,0.001,0.01,low,0.06,goodExposure,0.73,low,0.04,False,False,False,False,False,0.99,False
0.0,0.0,4.1,-5.1,female,44.7,0.0,0.0,0.0,NoGlasses,0.0,0.002,0.001,0.0,0.0,0.915,0.082,0.0,medium,0.7,goodExposure,0.66,high,0.83,False,False,False,False,False,0.04,False
0.0,0.0,-7.3,1.9,female,22.2,0.0,0.0,0.0,NoGlasses,0.0,0.003,0.0,0.0,0.0,0.982,0.014,0.001,medium,0.74,goodExposure,0.59,low,0.22,True,False,False,False,False,0.15,False
0.181,0.0,-1.2,0.9,male,37.0,0.2,0.0,0.0,ReadingGlasses,0.001,0.007,0.001,0.0,0.181,0.799,0.002,0.009,low,0.0,goodExposure,0.5,low,0.0,False,False,False,False,False,0.04,False
0.013,0.0,-1.3,-0.3,male,34.4,0.0,0.0,0.0,NoGlasses,0.0,0.004,0.0,0.0,0.013,0.982,0.001,0.0,medium,0.75,goodExposure,0.66,medium,0.55,False,False,False,False,False,0.28,False
0.999,0.0,-6.4,2.1,male,43.5,0.2,0.2,0.2,NoGlasses,0.0,0.0,0.0,0.0,0.999,0.0,0.0,0.001,medium,0.36,goodExposure,0.66,high,0.84,False,False,False,False,False,1.0,False
0.179,0.0,9.2,-11.0,female,24.1,0.0,0.0,0.0,NoGlasses,0.008,0.012,0.014,0.016,0.179,0.543,0.112,0.116,low,0.18,goodExposure,0.42,low,0.04,True,True,False,False,False,0.1,False
0.001,0.0,-5.3,7.6,male,29.4,0.2,0.3,0.1,NoGlasses,0.0,0.03,0.0,0.0,0.001,0.968,0.002,0.0,medium,0.33,goodExposure,0.71,low,0.13,False,False,False,False,False,0.04,False
0.029,0.0,13.4,-4.1,male,31.0,0.0,0.1,0.0,NoGlasses,0.0,0.814,0.005,0.001,0.029,0.024,0.001,0.126,medium,0.47,goodExposure,0.68,high,0.82,False,False,False,False,False,0.07,False
0.005,0.0,2.1,1.9,female,28.3,0.0,0.0,0.0,NoGlasses,0.002,0.001,0.011,0.009,0.005,0.742,0.088,0.141,low,0.0,overExposure,0.76,high,0.73,True,False,False,False,True,0.0,False
0.002,0.0,1.6,-5.8,male,25.3,0.5,0.4,0.7,NoGlasses,0.005,0.288,0.001,0.015,0.002,0.17,0.002,0.517,medium,0.44,goodExposure,0.46,high,0.97,False,True,False,False,False,0.55,False
0.14,0.0,1.2,-9.7,male,34.5,0.5,0.6,0.6,NoGlasses,0.004,0.024,0.002,0.003,0.14,0.702,0.006,0.119,low,0.14,goodExposure,0.4,low,0.25,False,False,False,False,False,0.78,False
0.0,0.0,-7.2,0.0,male,33.5,0.2,0.1,0.2,NoGlasses,0.002,0.094,0.001,0.0,0.0,0.838,0.064,0.0,medium,0.62,goodExposure,0.69,high,1.0,True,False,False,False,False,0.02,False
0.001,0.0,5.3,-18.3,male,76.7,1.0,0.9,0.6,NoGlasses,0.006,0.003,0.002,0.0,0.001,0.876,0.108,0.004,low,0.24,goodExposure,0.66,medium,0.37,False,False,False,False,False,0.69,False
0.016,0.0,2.1,0.3,female,61.3,0.0,0.0,0.0,ReadingGlasses,0.013,0.003,0.001,0.526,0.016,0.324,0.103,0.013,medium,0.27,overExposure,0.77,low,0.0,True,False,False,False,True,0.5,False
0.0,0.0,-0.4,5.6,male,33.1,0.4,0.5,0.4,NoGlasses,0.0,0.002,0.0,0.0,0.0,0.993,0.004,0.0,medium,0.67,goodExposure,0.64,high,0.86,False,False,False,False,False,0.03,False
0.936,0.0,-1.6,-23.1,male,64.0,0.1,0.0,0.0,NoGlasses,0.0,0.001,0.0,0.0,0.936,0.062,0.0,0.0,low,0.03,goodExposure,0.6,low,0.28,False,False,False,False,False,0.9,False
0.024,0.0,3.5,-1.1,male,31.5,0.6,0.4,0.1,NoGlasses,0.003,0.006,0.001,0.001,0.024,0.946,0.011,0.008,low,0.01,goodExposure,0.58,low,0.02,False,True,False,False,False,0.69,False
0.0,0.0,-6.4,-1.9,male,44.8,0.1,0.9,0.4,NoGlasses,0.001,0.002,0.0,0.0,0.0,0.986,0.011,0.0,low,0.2,goodExposure,0.72,low,0.27,False,False,False,False,False,0.05,False
0.0,0.0,-0.9,-0.3,female,31.3,0.0,0.0,0.0,NoGlasses,0.0,0.0,0.0,0.0,0.0,0.762,0.237,0.0,medium,0.38,goodExposure,0.67,low,0.11,False,False,False,False,False,0.01,False
0.0,0.0,31.9,-3.3,female,25.2,0.0,0.0,0.0,NoGlasses,0.0,0.006,0.002,0.002,0.0,0.652,0.328,0.011,low,0.0,overExposure,0.79,medium,0.57,True,True,True,False,False,0.0,True
0.032,0.0,-2.9,-25.3,male,28.1,0.3,0.3,0.5,NoGlasses,0.0,0.025,0.0,0.0,0.032,0.904,0.0,0.039,low,0.13,goodExposure,0.57,low,0.26,False,False,False,False,False,0.01,False
0.0,0.0,11.2,6.3,female,29.8,0.0,0.0,0.0,NoGlasses,0.0,0.001,0.0,0.0,0.0,0.94,0.058,0.0,medium,0.35,overExposure,0.82,medium,0.46,True,False,False,False,False,0.02,False
0.044,0.0,-19.8,-5.8,male,38.5,0.5,0.5,0.3,NoGlasses,0.012,0.091,0.005,0.0,0.044,0.785,0.063,0.0,low,0.0,goodExposure,0.45,low,0.0,False,False,False,False,False,0.01,False
0.114,0.0,17.3,-5.1,male,47.2,0.6,0.7,0.2,NoGlasses,0.002,0.013,0.005,0.0,0.114,0.842,0.02,0.003,medium,0.26,goodExposure,0.46,low,0.0,True,True,False,False,False,0.01,False
1.0,0.0,-1.1,-17.0,female,29.3,0.0,0.0,0.0,NoGlasses,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,medium,0.38,goodExposure,0.63,medium,0.46,True,True,False,False,False,0.03,False
0.0,0.0,-3.4,-11.1,female,57.8,0.0,0.0,0.0,NoGlasses,0.014,0.004,0.001,0.0,0.0,0.905,0.076,0.0,medium,0.32,goodExposure,0.68,medium,0.63,True,False,False,False,False,0.97,False
0.0,0.0,2.1,-0.9,female,28.6,0.0,0.0,0.0,NoGlasses,0.0,0.001,0.0,0.0,0.0,0.881,0.118,0.0,low,0.25,goodExposure,0.63,low,0.0,False,False,False,False,False,0.01,False
0.099,0.0,-0.8,-6.6,male,30.8,0.2,0.2,0.2,NoGlasses,0.0,0.021,0.001,0.0,0.099,0.857,0.02,0.001,low,0.0,goodExposure,0.67,high,0.74,True,True,True,False,False,0.09,False
